Product Name,TiO2 Concentration (mg/kg),TiO2 on Ingredient List?,Category - Level 1,Category - Level 2,Category - Level 3,Source,Extra Information
Cake 'n Party Sugar Decorations,2843.57,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),
Dr. Oetker Sprinkle Party - Glitter Sugar,1949.39,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),Pink colour
Cake 'n Party Pearls ,362.99,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),Lillac colour
Cake 'n Party Pearls,353.55,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),Pink colour
Dr. Oetker Icing,324.58,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Nkenda et al. (2023),
Vahine Icing Pencil,213,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),
-,2373,-,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Sungur et al. (2020),Cake ornament
-,2008,-,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Sungur et al. (2020),Sugar paste
-,555,-,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Sungur et al. (2020),Glazer
Bauli The Cereal Croissant,6732.24,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),Filling
Vahine Sugar Paste,5342.31,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),White colour
Cake 'n Party Almond Paste,3105.22,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),White colour
Dr. Oetker Pencil,1476.72,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),White colour
Dr. Oetker Sprinkle Party - Pearls,1067.85,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),White and pink colour
Dr. Oetker Icing,580.5,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),
Cara Choco Biscuit Pearls ,522.13,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),Silver colour
Cake 'n Party Pearls ,376.46,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),Jade colour
Cake 'n Party Pearls ,321.45,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),Marble colour
Wilton Decorating Icing ,291.84,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),Pink colour
Cake 'n Party Sugar Pearls,217.21,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Verleysen et al. (2022),"Black, yellow and red colour"
Dickinson's Coconut Curd,5989.33,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Weir et al. (2012),
Betty Crocker Whipped Cream Frosting,1538.21,No,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Weir et al. (2012),
Hershey's Chocolate Syrup,4.4,No,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Weir et al. (2012),
Albertson's Chocolate Syrup,4.12,No,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Weir et al. (2012),
-,107.9,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Decorative chocolate plate with signature containing E171 
Duncan Hines Creamy Home-Style Frosting,4070.74,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Reed et al. (2015),
-,0.6,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Golden pearls with liquor
-,2369.73,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Ojeda et al. (2024),White iced ring doughnuts icing only 
-,898.46,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Ojeda et al. (2024),Fondant icing
Junior Mints ,2.54,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Weir et al. (2012),
-,1424,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,954.7,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,714.3,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,605.5,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,3765,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,5072,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,9.6,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,802.3,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,692.5,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,424.5,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,2155.9,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,6939.7,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,31,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,3691.6,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,566.6,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,420.8,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,5057.6,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,500,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy (silver coating)
-,1563,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,571,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,830,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated fudge brownie candy
-,1297.1,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy with peanut
-,1740,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy
-,224,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy with peanut
-,1960,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate candy with peanut butter
-,150,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Ferraris et al. (2023),Button-shaped chocolate candies
-,1586.2,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),He et al. (2022),Chocolate beans (yellow colour)
-,2110.45,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Chocolate product with hard outer coating shell
-,1696.2,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Chocolate product with hard outer coating shell
-,944.28,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Chocolate product with hard outer coating shell
-,68.4,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Chocolate product with hard outer coating shell
Nestle Smarties,760,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Lomer et al. (2000),
Boni Mini Dragees,2.5,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Nkenda et al. (2023),
M&Ms Crispy,2264.82,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Verleysen et al. (2022),
M&Ms Peanut,1450.76,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Verleysen et al. (2022),
M&Ms Chocolate,2085.42,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Weir et al. (2012),
M&Ms Peanut,1399.74,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Weir et al. (2012),
M&Ms,1735.07,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Reed et al. (2015),
-,16200,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Abd- ElHamid et al. (2023),Chewy candy
-,600,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Abd- ElHamid et al. (2023),Hard candy
-,1453,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,508.2,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,848.9,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,551,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Lollipop
-,5502.5,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,3055,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,1160,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated chocolate and marshmallow candy
-,5270.5,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Lollipop
-,65.8,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Lollipop
-,258.4,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,390.7,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,77.4,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,1056.1,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,1386.3,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,2916,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,1050.1,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated jelly candy
-,1656.4,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar and jelly coated almonds
-,715.3,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy 
-,16.2,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,66.5,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,214.5,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Lollipop 
-,218,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Lollipop 
-,2263.3,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,1568.7,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Lollipop 
-,2675.1,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,892.4,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,389.3,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,1039,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,1447.4,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,3.1,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,258.1,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,1510,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Marshmallow
-,453,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Lollipop (candy cane)
-,379,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,394,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Hard candy
-,63,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,139,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,190,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,290,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jelly candy
-,2270,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,407,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Hard candy
-,1100,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,262,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated almonds
-,1730,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Multicolour soft candy
-,8190,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Sugar-coated candies
-,2008.2,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Cotton candy
-,306.4,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jellified candies
-,325,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Hard candy mixed flavours
-,276,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Hard candy grape and strawberry mix
-,146,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Hard candy berry flavour
-,223,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Hard candy mixed flavours
-,1910,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Cotton candy
-,198,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bucher et al. (2024),Jellified candy
-,1564.9,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Clayton-Cuch (2023),
-,18.7,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),He et al. (2022),DIY soft sweets
-,9870,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Hwang et al. (2019),Candy  
-,1090,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Hwang et al. (2019),Candy
-,1233.9,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Soft candy
-,782.45,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Soft candy
-,464.63,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Candy with hard outer coating shell
-,210.54,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Candy with hard outer coating shell
-,169.34,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Soft candy
-,131.8,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Soft candy
-,102.1,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Soft candy
-,58.89,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Soft candy
-,38.54,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Kim et al. (2018),Soft candy
-,2750,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Lim et al. (2018),Hard candy
-,510,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Lim et al. (2018),Hard candy
-,280,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Lim et al. (2018),Chewy candy
-,250,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Lim et al. (2018),Chewy candy
-,285.95,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Liu et al. (2022),Chocolate-covered gummy candy
-,228.1,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Liu et al. (2022),Corn-flavoured gummy candy
-,78.1,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Liu et al. (2022),Yogurt-flavoured gummy candy
-,75.4,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Liu et al. (2022),Honey gummy candy
-,69.3,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Liu et al. (2022),Fruity gummy candy
Kidd's Marshmallows,1990,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Lomer et al. (2000),
Haribo Liquorice Comfits,450,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Lomer et al. (2000),
Trebor Bassett Softmints,180,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Lomer et al. (2000),
Skittles,50,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Lomer et al. (2000),
Mentos ,8700,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Luo et al. (2020),
-,9.03,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Martinez et al. (2010),Candy (chilli flavour)
-,7.14,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Martinez et al. (2010),Candy (lemon flavour)
-,6.49,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Martinez et al. (2010),Candy (strawberry flavour)
-,6.39,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Martinez et al. (2010),Candy (blackberry flavour)
-,4.22,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Martinez et al. (2010),Candy (pineapple flavour)
-,3.85,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Martinez et al. (2010),Candy (orange flavour)
-,4286.99,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Peters et al. (2014),Hard candy
-,1048.87,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Peters et al. (2014),Soft candy 
-,879.92,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Peters et al. (2014),Soft candy 
-,739.14,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Peters et al. (2014),Hard candy 
-,344.93,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Peters et al. (2014),Soft candy 
Vanparys Mini Confettis ,8442.78,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Verleysen et al. (2022),Silver (colour)
Vanparys Palets ,5782.87,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Verleysen et al. (2022),Silver (colour)
Jelly Belly 20 Flavours,759.46,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Nkenda et al. (2023),
Skittles Fruits,385,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Verleysen et al. (2022),
The Jelly Bean Factory 36 Gourmet Flavours,105.02,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Verleysen et al. (2022),
Manganini Milano Confetti,80.67,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Verleysen et al. (2022),
-,2400,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Sungur et al. (2020),Almond toffee
-,970,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Sungur et al. (2020),Dragee
-,845,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Sungur et al. (2020),Dragee
-,32,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Sungur et al. (2020),Dragee
-,12,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Sungur et al. (2020),Jelly candy
-,12,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Sungur et al. (2020),Coconut bar
Saila Mint,6219.15,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Verleysen et al. (2022),
Venco Schoolkrijt,1125.87,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Verleysen et al. (2022),
Good & Plenty Candy,3470.14,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Weir et al. (2012),
Albertson's Mini Marshmallows,512.18,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Weir et al. (2012),
Mentos Mint,108.78,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Weir et al. (2012),
Breathsavers Mints,18.19,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Weir et al. (2012),
Kraft Jet-Puffed Marshmallows,4.44,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Weir et al. (2012),
Tic Tac Mints,2.64,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Weir et al. (2012),
Kraft Jet-Puffed Funmallows,2.09,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Weir et al. (2012),
Allen's Kool Mints,352.02,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Reed et al. (2015),
Eclipse Chewy Mints,437.1,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Reed et al. (2015),
Skittles,62.73,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Reed et al. (2015),
Woolworth's Sour Straps,914.25,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Reed et al. (2015),
Peeps Marshmallows,1.35,No,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Weir et al. (2012),
-,3300,-,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Cao et al. (2024),Other candies excluding gum-based candies
-,6217.41,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bastardo-Fernandez et al. (2024),Nougat
-,1815.29,Yes,Food,Confectionery (05),Other confectionery including breath freshening micro-sweets (05.2),Bastardo-Fernandez et al. (2024),Colorfoul coated candies
Albertson's American Single,11.53,No,Food,Dairy products and analogues (01),Cheese and cheese products (01.7),Weir et al. (2012),
Kraft American Single,1.97,No,Food,Dairy products and analogues (01),Cheese and cheese products (01.7),Weir et al. (2012),
Kraft Parmesan Cheese,1.69,No,Food,Dairy products and analogues (01),Cheese and cheese products (01.7),Weir et al. (2012),
Daisy Low Fat Cottage Cheese,1.53,No,Food,Dairy products and analogues (01),Cheese and cheese products (01.7),Weir et al. (2012),
Albertson's Mozzarella Stick,1.4,No,Food,Dairy products and analogues (01),Cheese and cheese products (01.7),Weir et al. (2012),
Albertson's Cheddar Cheese Stick,1.15,No,Food,Dairy products and analogues (01),Cheese and cheese products (01.7),Weir et al. (2012),
Kraft Easy Cheese,1.12,No,Food,Dairy products and analogues (01),Cheese and cheese products (01.7),Weir et al. (2012),
-,674.68,Yes,Food,Dairy products and analogues (01),Cheese and cheese products (01.7),Bastardo-Fernandez et al. (2024),Cheddar sauce
Hannaford's Original Whipped Topping,9,No,Food,Dairy products and analogues (01),Cream and cream powder (01.6),Putra et al. (2022),Aerosol
Albertson's Whipped Cream,1.18,No,Food,Dairy products and analogues (01),Cream and cream powder (01.6),Weir et al. (2012),
Market Basket Half & Half,3,No,Food,Dairy products and analogues (01),Cream and cream powder (01.6),Putra et al. (2022),
Hood Half & Half,2,No,Food,Dairy products and analogues (01),Cream and cream powder (01.6),Putra et al. (2022),
-,1400,Yes,Food,Dairy products and analogues (01),"Dairy analogues, including beverage whiteners (01.8)",Lim et al. (2018),Coffee cream
-,1110,Yes,Food,Dairy products and analogues (01),"Dairy analogues, including beverage whiteners (01.8)",Lim et al. (2018),Coffee cream
Nestle Tea Mate,7820,Yes,Food,Dairy products and analogues (01),"Dairy analogues, including beverage whiteners (01.8)",Lomer et al. (2000),
Farmer Non-Dairy Creamer,2890,No,Food,Dairy products and analogues (01),"Dairy analogues, including beverage whiteners (01.8)",Lomer et al. (2000),
Dixie Non-Dairy Creamer,430,No,Food,Dairy products and analogues (01),"Dairy analogues, including beverage whiteners (01.8)",Lomer et al. (2000),
